Tanggal;Tn;Tx;Tavg;RH_avg;RR;ss;ff_x;ddd_x;ff_avg;ddd_car
08-08-2022;20,6;26,8;23,2;82;5,1;1,5;4;200;2;S 
09-08-2022;18,2;28,3;22,8;78;0;3,8;4;170;2;S 
10-08-2022;20;29;23,9;81;0;7,5;4;80;2;S 
11-08-2022;21;29,8;24,8;80;0;5,5;7;50;3;S 
12-08-2022;21,9;29,2;24,9;76;;6;7;70;4;E 
13-08-2022;20,6;30,4;24,2;78;0;7,6;5;70;2;C 
14-08-2022;19,2;28,8;24,6;81;15,1;6,5;5;50;2;C 
15-08-2022;19,9;29,8;24,3;77;0,4;7,7;6;80;2;E 
16-08-2022;20,6;29,8;24;79;8888;7,7;4;160;2;S 
17-08-2022;19,9;28,4;23,6;76;18,8;7,2;5;220;2;S 
18-08-2022;19,4;28;23,4;80;0;8,6;3;200;2;S 
19-08-2022;19,4;27,8;22,7;81;0;8,8;5;200;3;S 
20-08-2022;18,8;29;23,2;76;8888;7,6;4;210;2;S 
21-08-2022;19,6;28,8;23,6;73;0;8,8;4;190;2;C 
22-08-2022;18,7;28,9;23,6;78;0;6,8;5;200;3;S 
23-08-2022;17,9;28,2;22,4;75;0;9;4;160;2;S 
24-08-2022;16,5;29,2;22,4;74;0;8,4;3;120;2;S 
25-08-2022;17,6;28,5;23;77;0;9,2;5;190;2;S 
26-08-2022;18,7;28;22,7;80;;7,2;5;190;2;S 
27-08-2022;18,8;27,2;22,9;80;0;4,6;4;190;3;S 
28-08-2022;17,7;26,5;22,7;70;0;2,7;5;180;2;S 
29-08-2022;17,4;28,6;23,4;78;0;5,9;5;180;2;S 
30-08-2022;20,7;28;23,6;86;1,8;8,3;6;190;2;SW
31-08-2022;19,6;29,8;24,3;76;0,1;4,9;5;80;2;C 
01-09-2022;19,2;30,2;24,2;77;0;6,4;4;80;2;S 
02-09-2022;20;31,3;25,2;69;0;8,4;5;70;2;E 
03-09-2022;20,3;29;24,3;72;0;9,6;5;200;3;S 
04-09-2022;19,8;29;23,7;78;0;9;3;170;2;S 
05-09-2022;19,4;29,3;23,8;78;16,4;5,7;5;90;2;C 
06-09-2022;19;29,4;23,6;81;0;2,6;4;140;1;C 
07-09-2022;19;28,8;24,1;83;0;5,2;4;200;2;S 
08-09-2022;19,3;30;23,5;81;11,4;2,9;5;110;2;C 
